movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0001,Dragon Legend,Stand-up Comedy,History,Thriller,2014,35,TV-Y,French,Japan,6.4,3778470,11102590.5,7,97,FALSE,07-08-2023,FALSE
movie_0002,Storm Warrior,Stand-up Comedy,Sci-Fi,Unknown,2017,37,PG,Japanese,USA,3.3,3778470,11102590.5,7,97,FALSE,28-01-2022,TRUE
movie_0003,Fire Family,Movie,Drama,Unknown,2003,142,TV-MA,English,USA,8.5,2114120,11102590.5,7,97,FALSE,04-05-2021,TRUE
movie_0004,Our Princess,Documentary,Sci-Fi,Unknown,2011,131,NC-17,Japanese,USA,5.3,3778470,11102590.5,7,97,FALSE,26-11-2022,FALSE
movie_0005,Warrior Mission,Documentary,Sport,Mystery,2015,91,TV-G,English,USA,3.1,3778470,11102590.5,7,97,FALSE,15-06-2023,FALSE
movie_0006,Kingdom Phoenix,Movie,Documentary,Music,1997,113,PG-13,English,USA,8,4214426,792291,7,97,FALSE,21-01-2021,FALSE
movie_0007,Battle Story,TV Series,Sci-Fi,Unknown,2003,52,TV-Y7,English,USA,6.4,3778470,11102590.5,7,158,FALSE,30-11-2021,FALSE
movie_0008,Old House,Movie,Horror,Unknown,1991,109,TV-Y,Spanish,South Korea,7.7,629216,3995303,7,97,FALSE,04-10-2020,FALSE
movie_0009,Dragon Empire,Movie,Biography,Unknown,2013,123,PG,Spanish,USA,8.4,3778470,11102590.5,7,97,FALSE,09-05-2024,FALSE
movie_0010,Dream War,Limited Series,Thriller,Animation,2019,49,TV-Y,Italian,Japan,8.2,3778470,11102590.5,12,32,FALSE,20-09-2021,FALSE
movie_0011,Day Dream,Movie,Western,Unknown,2022,148,R,English,USA,6.4,16018207,11102590.5,7,97,TRUE,02-06-2025,FALSE
movie_0012,Bright War,Movie,Crime,Sci-Fi,1997,95,G,English,South Korea,9.9,3778470,72997481,7,97,FALSE,22-05-2025,FALSE
movie_0013,Dream Journey,Movie,Romance,Unknown,2013,138,PG,English,Germany,8.6,1758821,3573506,7,97,FALSE,20-01-2021,TRUE
movie_0014,Little War,Movie,Mystery,Unknown,1990,117,TV-14,Korean,Japan,8.4,3778470,32793336,7,97,TRUE,01-10-2020,FALSE
movie_0015,Hero Empire,Movie,Sci-Fi,Mystery,2012,108,TV-G,English,UK,6.4,2006408,11102590.5,7,97,FALSE,18-09-2022,FALSE
movie_0016,Last Dream,TV Series,Family,Unknown,1999,54,PG-13,Spanish,USA,6,3778470,11102590.5,7,139,FALSE,19-01-2022,FALSE
movie_0017,Kingdom Battle,Stand-up Comedy,War,Unknown,2018,72,NC-17,Italian,UK,5.9,3778470,11102590.5,7,97,TRUE,13-10-2021,FALSE
movie_0018,Princess Phoenix,Movie,Adventure,Unknown,2011,116,PG,English,France,7.6,10555440,7278095,7,97,TRUE,04-04-2021,FALSE
movie_0019,An Legend,Limited Series,Sci-Fi,Crime,2004,48,TV-PG,English,UK,9.3,3778470,11102590.5,1,155,FALSE,12-05-2022,FALSE
movie_0020,An Mystery,TV Series,Fantasy,Unknown,2009,41,PG-13,English,Canada,7.1,3778470,11102590.5,14,168,FALSE,21-08-2022,FALSE
movie_0021,Family Love,Limited Series,Family,Thriller,2020,52,TV-PG,English,USA,8.5,3778470,11102590.5,5,106,FALSE,25-07-2023,FALSE
movie_0022,First Mystery,Movie,Sci-Fi,Unknown,1998,115,TV-PG,English,South Korea,6.4,2934549,40080746,7,97,TRUE,12-09-2022,FALSE
movie_0023,Mystery Night,TV Series,Adventure,Unknown,2020,60,TV-MA,English,USA,4.8,3778470,11102590.5,6,197,TRUE,18-10-2024,FALSE
movie_0024,Fire Mystery,Movie,Biography,Unknown,1990,114,TV-Y7,English,South Korea,4.4,895311,52104449,7,97,FALSE,04-04-2023,FALSE
movie_0025,Quest Queen,Movie,Family,Unknown,2013,127,PG,English,UK,9.2,3778470,1286089,7,97,FALSE,21-12-2024,FALSE
movie_0026,Last Love,TV Series,Comedy,Unknown,2000,78,PG,English,India,8.6,3778470,11102590.5,10,121,FALSE,23-02-2025,FALSE
movie_0027,House House,Stand-up Comedy,Western,Unknown,2012,60,PG-13,English,South Korea,7,3778470,11102590.5,7,97,TRUE,19-09-2021,FALSE
movie_0028,Legend Hero,Stand-up Comedy,Biography,Romance,2003,417,PG,French,USA,6.4,3778470,11102590.5,7,97,FALSE,07-01-2024,FALSE
movie_0029,Dark Princess,Movie,Horror,Sport,1998,117,PG,English,Japan,5.4,3778470,6128075,7,97,FALSE,16-04-2022,FALSE
movie_0030,Dragon King,Movie,Documentary,Unknown,2017,151,G,English,India,7.5,3778470,9373734,7,97,FALSE,10-06-2024,TRUE
movie_0031,Warrior War,Movie,Romance,Unknown,2024,129,TV-Y7,English,USA,4.7,3778470,2057069,7,97,FALSE,10-06-2022,FALSE
movie_0032,House Hero,TV Series,Crime,Unknown,2000,31,TV-Y7,German,UK,6.4,3778470,11102590.5,3,24,FALSE,13-02-2024,FALSE
movie_0033,Mystery City,Movie,Horror,Unknown,1995,116,TV-MA,Korean,USA,7.3,3778470,11102590.5,7,97,FALSE,24-06-2022,FALSE
movie_0034,Mission Kingdom,TV Series,War,Horror,2018,48,TV-PG,English,India,7.7,3778470,11102590.5,14,138,TRUE,22-10-2023,TRUE
movie_0035,Princess Love,TV Series,Family,Romance,1994,38,TV-PG,English,USA,7.4,3778470,11102590.5,7,62,FALSE,01-03-2021,FALSE
movie_0036,House Legend,TV Series,Adventure,Action,2018,61,PG-13,Spanish,Germany,6.5,3778470,11102590.5,10,57,FALSE,18-04-2025,FALSE
movie_0037,Empire King,TV Series,Comedy,Unknown,2011,51,TV-G,French,USA,6.4,3778470,11102590.5,5,23,FALSE,02-05-2025,FALSE
movie_0038,A Empire,Movie,Action,Unknown,1993,98,TV-MA,Korean,USA,5.6,3127772,391629433,7,97,TRUE,29-06-2021,FALSE
movie_0039,Love Queen,Movie,Mystery,Unknown,2019,80,PG-13,German,USA,7.3,5603605,11102590.5,7,97,FALSE,10-01-2022,FALSE
movie_0040,Mystery Quest,Movie,War,Music,2005,116,PG-13,Japanese,UK,6.4,1816487,2016406,7,97,FALSE,04-02-2023,FALSE
movie_0041,Kingdom War,Documentary,Biography,Sport,2003,83,TV-14,English,USA,6.4,3778470,11102590.5,7,97,FALSE,23-03-2023,FALSE
movie_0042,First Hero,Movie,Action,Unknown,2020,452,TV-G,Hindi,India,6.7,2146992,55547817,7,97,TRUE,01-06-2024,FALSE
movie_0043,City Queen,Documentary,Family,Unknown,2005,80,PG-13,Spanish,USA,6.3,3778470,11102590.5,7,97,FALSE,12-12-2022,FALSE
movie_0044,Dragon City,Stand-up Comedy,War,Documentary,1998,379,TV-G,English,USA,5.2,3778470,11102590.5,7,97,FALSE,31-01-2023,FALSE
movie_0045,Battle Day,Documentary,History,Unknown,2003,92,PG,English,USA,5.4,3778470,11102590.5,7,97,TRUE,18-02-2025,FALSE
movie_0046,The Dragon,TV Series,Family,Unknown,2002,43,PG-13,English,USA,6.7,3778470,11102590.5,8,113,FALSE,15-08-2023,FALSE
movie_0047,Day Journey,TV Series,Thriller,Unknown,2008,47,PG,English,Japan,5.4,3778470,11102590.5,9,54,FALSE,15-12-2020,FALSE
movie_0048,Secret Legend,Movie,Family,Unknown,1994,102,TV-14,Hindi,UK,6.4,93953191,835652471,7,97,FALSE,30-08-2024,FALSE
movie_0049,Kingdom Day,Movie,Thriller,Unknown,2023,111,NC-17,English,Germany,4.6,629194,2736647,7,97,FALSE,03-03-2024,FALSE
movie_0050,Last Quest,TV Series,Biography,Unknown,2015,41,TV-PG,French,USA,6.1,3778470,11102590.5,8,116,FALSE,10-08-2023,FALSE
movie_0051,Hero Mystery,TV Series,Western,Comedy,1995,52,TV-PG,English,USA,8,3778470,11102590.5,12,178,FALSE,10-09-2023,FALSE
movie_0052,Hero Journey,Movie,Sport,Biography,2002,104,PG-13,Italian,USA,4.9,6117844,16638609,7,97,TRUE,01-11-2022,FALSE
movie_0053,Princess City,Documentary,History,Unknown,2018,90,TV-Y7,English,Canada,4.7,3778470,11102590.5,7,97,FALSE,28-02-2022,FALSE
movie_0054,Phoenix Journey,TV Series,Romance,History,2021,35,TV-MA,English,France,8.8,3778470,11102590.5,7,78,FALSE,17-11-2024,FALSE
movie_0055,Queen Quest,Movie,Sci-Fi,Unknown,2002,84,G,Italian,India,4.7,6494786,11102590.5,7,97,TRUE,21-11-2023,TRUE
movie_0056,Big Princess,Movie,Adventure,Comedy,1997,137,TV-Y,English,USA,6.2,3593765,2259750,7,97,TRUE,18-01-2021,FALSE
movie_0057,Mission Dream,Movie,Biography,Unknown,2017,82,TV-14,Spanish,USA,5.9,4186498,7674756,7,97,TRUE,30-10-2021,FALSE
movie_0058,Day Mystery,Stand-up Comedy,Drama,Unknown,2020,57,R,English,USA,6.6,3778470,11102590.5,7,97,TRUE,16-10-2022,FALSE
movie_0059,Night Secret,TV Series,Romance,Sci-Fi,1992,580,TV-14,French,USA,6.3,3778470,11102590.5,4,42,TRUE,24-08-2020,FALSE
movie_0060,Night Warrior,TV Series,Biography,Unknown,1993,44,PG-13,English,USA,4.9,3778470,11102590.5,10,46,FALSE,08-08-2024,FALSE
movie_0061,Journey Night,Movie,Drama,Unknown,2017,100,TV-MA,English,UK,6.9,11264097,11102590.5,7,97,FALSE,25-11-2021,FALSE
movie_0062,Phoenix Mission,Movie,Action,Unknown,2012,129,TV-Y,English,USA,4.4,4494260,53848956,7,97,FALSE,16-08-2022,FALSE
movie_0063,Hero Kingdom,Movie,Adventure,Unknown,1997,165,G,Hindi,UK,6.9,1360448,656952,7,97,FALSE,22-04-2021,FALSE
movie_0064,Last City,Documentary,Animation,Crime,1994,115,TV-PG,Japanese,South Korea,5.8,3778470,11102590.5,7,97,FALSE,03-07-2021,FALSE
movie_0065,Day Queen,Movie,Sport,Unknown,1991,109,TV-14,Italian,USA,6.4,11397312,32147534,7,97,TRUE,16-11-2024,FALSE
movie_0066,Adventure King,Movie,Comedy,Romance,2013,104,TV-14,English,Canada,7.9,4687811,26772080,7,97,FALSE,24-06-2022,FALSE
movie_0067,Story Mystery,TV Series,Crime,Unknown,2005,50,PG,English,USA,6.8,3778470,11102590.5,2,73,FALSE,21-05-2023,FALSE
movie_0068,Secret Night,TV Series,Horror,Unknown,1994,46,R,English,USA,7.5,3778470,11102590.5,5,44,FALSE,22-10-2021,FALSE
movie_0069,An Quest,TV Series,Documentary,Unknown,2020,42,NC-17,Spanish,South Korea,8.1,3778470,11102590.5,9,6,FALSE,13-02-2024,FALSE
movie_0070,Battle City,Documentary,Biography,Unknown,2023,81,R,Hindi,France,6.5,3778470,11102590.5,7,97,FALSE,31-12-2022,TRUE
movie_0071,Phoenix Ice,TV Series,Music,Sci-Fi,2016,70,TV-MA,English,Canada,6.7,3778470,11102590.5,3,79,TRUE,17-06-2024,FALSE
movie_0072,Storm Warrior,Limited Series,Sci-Fi,Drama,2015,73,TV-14,French,South Korea,6.4,3778470,11102590.5,14,75,FALSE,09-06-2021,FALSE
movie_0073,House Family,TV Series,Action,Unknown,2021,42,TV-PG,German,Canada,4.8,3778470,11102590.5,5,121,TRUE,24-03-2023,FALSE
movie_0074,Dark Ice,Movie,Comedy,Unknown,2005,150,PG,English,Canada,6.4,1915176,3628760,7,97,TRUE,07-11-2021,FALSE
movie_0075,War Hero,TV Series,Animation,Crime,2016,18,TV-PG,English,USA,6.5,3778470,11102590.5,1,177,FALSE,21-04-2023,TRUE
movie_0076,Empire Battle,Movie,Family,Documentary,2023,108,G,English,USA,6.8,20837483,4643156,7,97,TRUE,30-05-2023,FALSE
movie_0077,Our Battle,TV Series,War,History,2018,26,TV-14,English,USA,6.4,3778470,11102590.5,5,95,TRUE,03-12-2024,FALSE
movie_0078,Little War,Movie,Fantasy,Mystery,1999,143,NC-17,Hindi,USA,6.4,1035450,11102590.5,7,97,FALSE,30-03-2022,FALSE
movie_0079,Mission Dream,Movie,War,Unknown,2005,414,TV-G,Hindi,USA,5.9,4204348,24367896,7,97,FALSE,07-02-2021,FALSE
movie_0080,Day Queen,Movie,Documentary,Documentary,2014,89,TV-Y,English,USA,7.8,5453306,32981493,7,97,FALSE,26-12-2022,FALSE
movie_0081,Mission Fire,Movie,Documentary,Unknown,2023,119,TV-14,Italian,Japan,7.8,22471820,5603722,7,97,FALSE,05-06-2021,FALSE
movie_0082,Bright Phoenix,Movie,Western,Unknown,1995,408,TV-MA,German,South Korea,4.6,8461755,173407724,7,97,TRUE,14-04-2021,FALSE
movie_0083,Journey Phoenix,Movie,Sci-Fi,Unknown,2024,101,TV-Y,English,USA,7,97100,69320180,7,97,TRUE,14-08-2020,TRUE
movie_0084,Night Phoenix,Movie,Documentary,Crime,1998,114,PG,English,Germany,6.8,3778470,39250966,7,97,TRUE,08-09-2023,TRUE
movie_0085,Mission Secret,Stand-up Comedy,Crime,Crime,2009,44,TV-Y,Korean,USA,5.7,3778470,11102590.5,7,97,FALSE,03-05-2024,TRUE
movie_0086,Big Adventure,Documentary,Biography,Family,1998,68,G,English,UK,0.6,3778470,11102590.5,7,97,TRUE,11-07-2024,FALSE
movie_0087,Our Storm,Movie,Comedy,Unknown,2010,38,PG-13,Italian,USA,6.6,3778470,11102590.5,7,97,FALSE,22-02-2021,TRUE
movie_0088,Journey Love,TV Series,Sport,Unknown,1990,63,PG-13,English,Canada,7.2,3778470,11102590.5,4,79,FALSE,02-03-2023,FALSE
movie_0089,Mystery Day,Movie,Romance,Unknown,2014,79,TV-Y7,Hindi,Japan,0.9,44425136,16348642,7,97,TRUE,07-06-2021,TRUE
movie_0090,Ice Kingdom,Documentary,Animation,Biography,2003,107,TV-PG,English,USA,8.7,3778470,11102590.5,7,97,FALSE,24-12-2021,TRUE
movie_0091,Dragon Ice,Documentary,Horror,Unknown,1993,79,PG-13,English,Japan,4.7,3778470,11102590.5,7,97,TRUE,24-11-2022,FALSE
movie_0092,Story Kingdom,TV Series,War,Unknown,1991,35,PG,English,UK,8.8,3778470,11102590.5,14,62,FALSE,23-04-2024,FALSE
movie_0093,City Queen,Movie,History,Biography,2020,101,R,English,USA,9.7,3778470,41795066,7,97,TRUE,31-03-2024,FALSE
movie_0094,Dark City,Stand-up Comedy,Western,Western,1993,68,TV-Y7,English,USA,5.3,3778470,11102590.5,7,97,FALSE,03-08-2021,FALSE
movie_0095,Legend Storm,TV Series,Fantasy,Unknown,2003,32,TV-MA,English,USA,3.6,3778470,11102590.5,9,76,TRUE,06-05-2025,FALSE
movie_0096,King Fire,Movie,Action,Unknown,2018,105,G,English,UK,4.5,8939550,4931077,7,97,FALSE,22-06-2024,TRUE
movie_0097,Secret War,Movie,Fantasy,Unknown,2001,102,TV-Y,Hindi,Canada,3.1,2137471,36710118,7,97,FALSE,15-05-2021,FALSE
movie_0098,A War,Stand-up Comedy,Adventure,Unknown,2001,77,PG-13,English,USA,6.4,3778470,11102590.5,7,97,TRUE,27-07-2022,FALSE
movie_0099,Dragon Day,Documentary,Western,Unknown,2021,110,PG,English,UK,8.3,3778470,11102590.5,7,97,FALSE,06-07-2021,TRUE
movie_0100,Adventure Dream,Movie,Fantasy,Unknown,1996,99,TV-G,English,Canada,6,8590064,11102590.5,7,97,FALSE,30-07-2024,FALSE
movie_0101,King House,TV Series,Animation,Unknown,2008,45,TV-MA,English,South Korea,6.9,3778470,11102590.5,3,96,FALSE,19-07-2025,FALSE
movie_0102,Fire War,TV Series,Comedy,Sci-Fi,2003,32,TV-14,Italian,South Korea,5.1,3778470,11102590.5,6,74,FALSE,17-08-2023,TRUE
movie_0103,Family Battle,Stand-up Comedy,Sci-Fi,Action,2017,52,NC-17,Italian,France,8.2,3778470,11102590.5,7,97,FALSE,16-04-2024,FALSE
movie_0104,Mystery Mystery,Movie,War,Fantasy,2001,107,TV-Y,English,South Korea,6.4,3778470,13208249,7,97,FALSE,24-11-2024,FALSE
movie_0105,Adventure House,Movie,Animation,Adventure,1992,109,TV-MA,Korean,USA,6.3,1354517,3059547,7,97,TRUE,28-09-2023,FALSE
movie_0106,Dragon Night,Documentary,Animation,Family,1991,89,NC-17,Spanish,South Korea,7.3,3778470,11102590.5,7,97,FALSE,25-08-2020,TRUE
movie_0107,Love Kingdom,Documentary,Biography,Unknown,2014,87,TV-MA,English,UK,6.1,3778470,11102590.5,7,97,FALSE,02-03-2023,TRUE
movie_0108,First Phoenix,Movie,Fantasy,Unknown,2000,128,TV-G,Italian,USA,7.8,747506,151826737,7,97,FALSE,14-03-2021,TRUE
movie_0109,Family Story,Movie,War,Unknown,2023,119,PG-13,English,USA,6.5,2792744,194859508,7,97,FALSE,24-12-2022,FALSE
movie_0110,Queen Day,Movie,Comedy,Adventure,1998,122,NC-17,English,USA,5.5,3551286,11102590.5,7,97,TRUE,03-06-2022,FALSE
movie_0111,Kingdom Mission,Movie,Sport,Unknown,1995,106,TV-Y7,English,USA,6.4,770163,3222643,7,97,FALSE,12-03-2021,TRUE
movie_0112,King Princess,TV Series,Music,Biography,1991,69,R,English,USA,6.4,3778470,11102590.5,2,103,TRUE,22-01-2022,FALSE
movie_0113,A Quest,Movie,History,Unknown,2022,110,PG-13,French,Germany,5.9,845349,4568753,7,97,FALSE,09-12-2020,TRUE
movie_0114,Journey King,TV Series,Animation,Mystery,2008,46,TV-PG,English,India,9.7,3778470,11102590.5,9,48,FALSE,24-10-2022,FALSE
movie_0115,War Dragon,Movie,Crime,Unknown,2021,69,NC-17,English,USA,6,18860431,57338013,7,97,TRUE,09-04-2021,FALSE
movie_0116,Secret Story,Documentary,Biography,Documentary,1990,134,TV-14,French,France,4.7,3778470,11102590.5,7,97,FALSE,27-02-2024,TRUE
movie_0117,Little Dragon,Movie,Family,Unknown,2013,109,R,English,USA,5.2,794995,24268353,7,97,TRUE,27-04-2022,TRUE
movie_0118,Hero Love,Documentary,Sport,Unknown,2014,96,TV-14,English,USA,6.4,3778470,11102590.5,7,97,FALSE,14-07-2021,FALSE
movie_0119,Little Warrior,Documentary,Action,Adventure,2019,98,G,Hindi,South Korea,8.5,3778470,11102590.5,7,97,FALSE,26-07-2025,TRUE
movie_0120,Last Mission,Movie,Mystery,Comedy,2022,152,TV-Y,English,USA,5.2,3778470,22144747,7,97,FALSE,21-04-2024,FALSE
movie_0121,Last Dream,Movie,Mystery,Unknown,2004,113,G,English,USA,6.1,1666756,11102590.5,7,97,FALSE,09-09-2022,FALSE
movie_0122,Little Queen,Movie,History,Unknown,2019,125,TV-MA,English,USA,3.9,9321651,5551808,7,97,FALSE,01-08-2024,FALSE
movie_0123,Family Fire,Movie,Documentary,History,2008,109,R,English,USA,4.5,556402,8920240,7,97,TRUE,03-04-2023,FALSE
movie_0124,Bright House,TV Series,Comedy,Unknown,2003,38,TV-Y,English,USA,6.6,3778470,11102590.5,12,14,TRUE,14-01-2024,FALSE
movie_0125,Our Queen,Movie,Western,Music,2010,105,PG,English,Canada,5,16341730,39189864,7,97,TRUE,10-01-2022,FALSE
movie_0126,Journey Princess,Movie,Sci-Fi,Biography,2003,125,TV-MA,Spanish,USA,7.4,26713214,5582578,7,97,FALSE,29-12-2022,FALSE
movie_0127,Dragon Quest,Documentary,Music,Drama,2016,85,PG,English,USA,4.4,3778470,11102590.5,7,97,FALSE,22-12-2024,FALSE
movie_0128,A Quest,Limited Series,History,Unknown,2008,58,NC-17,English,Canada,4.9,3778470,11102590.5,2,153,FALSE,29-03-2022,FALSE
movie_0129,Mission Fire,Stand-up Comedy,Sci-Fi,Crime,2000,36,TV-Y7,English,USA,6.4,3778470,11102590.5,7,97,TRUE,10-10-2023,FALSE
movie_0130,Last House,Movie,Action,Unknown,1990,36,NC-17,English,Japan,6.4,10949397,45443003,7,97,FALSE,19-11-2020,FALSE
movie_0131,Story Mystery,Movie,Sci-Fi,Unknown,2024,115,TV-Y7,English,USA,6.4,31998338,4303498,7,97,TRUE,25-04-2025,FALSE
movie_0132,Dragon War,Documentary,Comedy,Unknown,2022,95,TV-PG,Spanish,Japan,7.7,3778470,11102590.5,7,97,FALSE,12-01-2021,FALSE
movie_0133,Adventure Princess,Movie,Family,Unknown,1993,97,R,English,USA,7.8,9889659,36933865,7,97,FALSE,12-12-2021,FALSE
movie_0134,Story Night,Stand-up Comedy,Adventure,Animation,1999,52,PG,Spanish,France,7.3,3778470,11102590.5,7,97,FALSE,24-08-2023,FALSE
movie_0135,Princess House,Movie,Western,Unknown,2016,73,TV-G,Japanese,USA,5.3,3778470,196392638,7,97,FALSE,10-08-2023,FALSE
movie_0136,First House,Documentary,Adventure,Unknown,2001,404,NC-17,English,Canada,1,3778470,11102590.5,7,97,FALSE,25-05-2023,FALSE
movie_0137,First Mission,Movie,History,Unknown,2023,106,TV-Y7,English,USA,7.6,992285,84883879,7,97,FALSE,26-12-2020,FALSE
movie_0138,Kingdom Fire,Movie,Biography,Comedy,2024,118,PG,English,Canada,5.6,2785266,20178073,7,97,FALSE,29-05-2023,FALSE
movie_0139,Last War,Limited Series,Mystery,Unknown,1993,23,TV-G,English,USA,4.4,3778470,11102590.5,2,102,FALSE,05-05-2024,FALSE
movie_0140,City Empire,Documentary,Sport,Unknown,2023,19,TV-14,English,France,5.6,3778470,11102590.5,7,97,FALSE,20-06-2025,FALSE
movie_0141,War Story,Movie,Action,Crime,1990,96,PG,Korean,Japan,3.9,3778470,351613,7,97,FALSE,30-10-2024,TRUE
movie_0142,Battle Secret,Limited Series,Western,Unknown,2018,71,TV-Y7,English,UK,6.4,3778470,11102590.5,14,169,FALSE,26-02-2021,TRUE
movie_0143,Adventure Fire,Movie,Biography,Unknown,2006,143,NC-17,German,Germany,5,792013,5298432,7,97,TRUE,28-12-2022,FALSE
movie_0144,Our Dream,TV Series,Comedy,Unknown,2013,37,TV-14,Korean,India,9.4,3778470,11102590.5,11,42,TRUE,07-12-2020,FALSE
movie_0145,Fire Empire,TV Series,Thriller,Sci-Fi,1990,40,G,English,UK,8.4,3778470,11102590.5,10,197,TRUE,09-03-2024,FALSE
movie_0146,Bright Love,Movie,War,Unknown,2014,79,PG-13,English,USA,4.4,3778470,11102590.5,7,97,FALSE,22-11-2024,FALSE
movie_0147,Dark Love,Documentary,Action,Unknown,1996,34,G,Japanese,UK,3.9,3778470,11102590.5,7,97,FALSE,11-02-2023,FALSE
movie_0148,War Storm,TV Series,Mystery,Unknown,1997,66,TV-Y7,Spanish,USA,8.9,3778470,11102590.5,1,101,TRUE,29-07-2022,FALSE
movie_0149,The Fire,Documentary,Action,Unknown,2000,364,TV-PG,Spanish,USA,3,3778470,11102590.5,7,97,FALSE,12-09-2023,FALSE
movie_0150,Story Fire,Movie,Adventure,Sport,2013,157,TV-14,English,Japan,8.1,28183154,26250908,7,97,FALSE,26-12-2022,TRUE
movie_0151,Night Love,Movie,Animation,Unknown,2005,98,TV-Y,English,South Korea,6.2,5071451,235899,7,97,FALSE,11-12-2022,FALSE
movie_0152,Fire Quest,Movie,Documentary,Sport,1991,104,TV-MA,Hindi,USA,3.6,3778470,11102590.5,7,97,FALSE,13-10-2020,FALSE
movie_0153,Phoenix Dragon,Movie,Animation,Unknown,2007,148,NC-17,Spanish,USA,7.8,1445488,11102590.5,7,97,TRUE,30-01-2024,FALSE
movie_0154,Bright Phoenix,TV Series,Sci-Fi,Unknown,1998,19,TV-Y,Italian,UK,5,3778470,11102590.5,14,187,TRUE,15-01-2024,FALSE
