movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0001,Dragon Legend,Stand-up Comedy,History,Thriller,2014,35,,French,Japan,6.4,3778470,11102590.5,7,97,0,2023:08:07,0
movie_0002,Storm Warrior,Stand-up Comedy,Sci-Fi,Unknown,2017,37,,Japanese,USA,3.3,3778470,11102590.5,7,97,0,2022:01:28,1
movie_0003,Fire Family,Movie,Drama,Unknown,2003,142,,English,USA,8.5,2114120,11102590.5,7,97,0,2021:05:04,1
movie_0004,Our Princess,Documentary,Sci-Fi,Unknown,2011,131,,Japanese,USA,5.3,3778470,11102590.5,7,97,0,2022:11:26,0
movie_0005,Warrior Mission,Documentary,Sport,Mystery,2015,91,,English,USA,3.1,3778470,11102590.5,7,97,0,2023:06:15,0
movie_0006,Kingdom Phoenix,Movie,Documentary,Music,1997,113,,English,USA,8.0,4214426,792291.0,7,97,0,2021:01:21,0
movie_0007,Battle Story,TV Series,Sci-Fi,Unknown,2003,52,,English,USA,6.4,3778470,11102590.5,7,158,0,2021:11:30,0
movie_0008,Old House,Movie,Horror,Unknown,1991,109,,Spanish,South Korea,7.7,629216,3995303.0,7,97,0,2020:10:04,0
movie_0009,Dragon Empire,Movie,Biography,Unknown,2013,123,,Spanish,USA,8.4,3778470,11102590.5,7,97,0,2024:05:09,0
movie_0010,Dream War,Limited Series,Thriller,Animation,2019,49,,Italian,Japan,8.2,3778470,11102590.5,12,32,0,2021:09:20,0
movie_0011,Day Dream,Movie,Western,Unknown,2022,148,,English,USA,6.4,16018207,11102590.5,7,97,1,2025:06:02,0
movie_0012,Bright War,Movie,Crime,Sci-Fi,1997,95,,English,South Korea,9.9,3778470,72997481.0,7,97,0,2025:05:22,0
movie_0013,Dream Journey,Movie,Romance,Unknown,2013,138,,English,Germany,8.6,1758821,3573506.0,7,97,0,2021:01:20,1
movie_0014,Little War,Movie,Mystery,Unknown,1990,117,,Korean,Japan,8.4,3778470,32793336.0,7,97,1,2020:10:01,0
movie_0015,Hero Empire,Movie,Sci-Fi,Mystery,2012,108,,English,UK,6.4,2006408,11102590.5,7,97,0,2022:09:18,0
movie_0016,Last Dream,TV Series,Family,Unknown,1999,54,,Spanish,USA,6.0,3778470,11102590.5,7,139,0,2022:01:19,0
movie_0017,Kingdom Battle,Stand-up Comedy,War,Unknown,2018,72,,Italian,UK,5.9,3778470,11102590.5,7,97,1,2021:10:13,0
